market_code,ticker,company_name,refreshed_at,source
uk_ftse100,PSN,Persimmon,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,PCT,Polar Capital Technology Trust,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,PRU,Prudential plc,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,RKT,Reckitt,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,REL,RELX,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,RTO,Rentokil Initial,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,RMV,Rightmove,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,RIO,Rio Tinto,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,RR,Rolls-Royce Holdings,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SGE,Sage Group,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SBRY,Sainsbury's,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SDR,Schroders,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SMT,Scottish Mortgage Investment Trust,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SGRO,Segro,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SVT,Severn Trent,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SHEL,Shell plc,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SMIN,Smiths Group,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SN,Smith & Nephew,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SPX,Spirax Group,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SSE,SSE plc,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,STAN,Standard Chartered,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,SDLF,Standard Life,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,STJ,St. James's Place,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,TSCO,Tesco,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,BBOX,Tritax Big Box REIT,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,ULVR,Unilever,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,UU,United Utilities,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,VOD,Vodafone Group,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,WEIR,Weir Group,2026-05-23T16:57:41.217356+00:00,wikipedia
uk_ftse100,WTB,Whitbread,2026-05-23T16:57:41.217356+00:00,wikipedia
